part_id,part_name,part_number,component_name,vehicle_type,expected_demand,recommended_stock
169,Oil Filters for Hyundai Santa Fe 2006,HYSA606150,oil filters,2006 Hyundai Santa Fe,17,21
33,Batteries for Audi Q5 2022,AUQ52202435,batteries,2022 Audi Q5,17,20
77,Alternators for Ford Focus 2023,FOFO2303529,alternators,2023 Ford Focus,17,21
94,Spark Plugs for Ford Focus 2023,FOFO2304457,spark plugs,2023 Ford Focus,17,21
293,Fuel Pumps for Audi Q5 2022,AUQ52210926,fuel pumps,2022 Audi Q5,17,20
263,Water Pumps for Ford Focus 2023,FOFO2309179,water pumps,2023 Ford Focus,17,21
279,Fuel Pumps for Ford Focus 2023,FOFO2310434,fuel pumps,2023 Ford Focus,17,21
2,Brakes for Audi Q5 2022,AUQ52201332,brakes,2022 Audi Q5,17,20
239,Starters for Toyota Highlander 2013,TOHI1308629,starters,2013 Toyota Highlander,17,20
261,Water Pumps for Hyundai Santa Fe 2006,HYSA609363,water pumps,2006 Hyundai Santa Fe,17,21
203,Air Filters for Ford Focus 2023,FOFO2307102,air filters,2023 Ford Focus,17,21
204,Air Filters for Hyundai Santa Fe 2006,HYSA607141,air filters,2006 Hyundai Santa Fe,17,21
246,Water Pumps for Audi Q5 2022,AUQ52209441,water pumps,2022 Audi Q5,17,20
146,Tires for Ford Focus 2023,FOFO2305439,tires,2023 Ford Focus,17,21
196,Air Filters for Audi Q5 2022,AUQ52207486,air filters,2022 Audi Q5,17,20
147,Tires for Hyundai Santa Fe 2006,HYSA605634,tires,2006 Hyundai Santa Fe,17,21
280,Fuel Pumps for Hyundai Santa Fe 2006,HYSA610377,fuel pumps,2006 Hyundai Santa Fe,17,21
150,Tires for Toyota Highlander 2013,TOHI1305849,tires,2013 Toyota Highlander,17,20
148,Tires for Audi Q5 2022,AUQ52205168,tires,2022 Audi Q5,17,20
260,Water Pumps for Toyota Highlander 2013,TOHI1309498,water pumps,2013 Toyota Highlander,17,20
124,Tires for Mercedes GLE 2016,MEGL1605963,tires,2016 Mercedes GLE,16,20
82,Alternators for Mercedes GLE 2016,MEGL1603315,alternators,2016 Mercedes GLE,16,20
202,Air Filters for Mercedes GLE 2016,MEGL1607272,air filters,2016 Mercedes GLE,16,20
37,Batteries for Mercedes GLE 2016,MEGL1602642,batteries,2016 Mercedes GLE,16,20
173,Oil Filters for Mercedes GLE 2016,MEGL1606719,oil filters,2016 Mercedes GLE,16,20
95,Spark Plugs for Mercedes GLE 2016,MEGL1604625,spark plugs,2016 Mercedes GLE,16,20
262,Water Pumps for Mercedes GLE 2016,MEGL1609914,water pumps,2016 Mercedes GLE,16,20
237,Starters for Mercedes GLE 2016,MEGL1608495,starters,2016 Mercedes GLE,16,20
277,Fuel Pumps for Mercedes GLE 2016,MEGL1610123,fuel pumps,2016 Mercedes GLE,16,20
23,Brakes for Mercedes GLE 2016,MEGL1601786,brakes,2016 Mercedes GLE,16,20
289,Fuel Pumps for Chevrolet Malibu 2023,CHMA2310192,fuel pumps,2023 Chevrolet Malibu,15,18
276,Fuel Pumps for Ford Focus 2010,FOFO1010678,fuel pumps,2010 Ford Focus,15,18
125,Tires for Ford Focus 2010,FOFO1005776,tires,2010 Ford Focus,15,18
210,Air Filters for Hyundai Sonata 2007,HYSO707841,air filters,2007 Hyundai Sonata,15,18
254,Water Pumps for Chevrolet Malibu 2023,CHMA2309858,water pumps,2023 Chevrolet Malibu,15,18
170,Oil Filters for Chevrolet Malibu 2023,CHMA2306801,oil filters,2023 Chevrolet Malibu,15,18
31,Batteries for Chevrolet Malibu 2023,CHMA2302840,batteries,2023 Chevrolet Malibu,15,18
110,Spark Plugs for Ford Focus 2010,FOFO1004824,spark plugs,2010 Ford Focus,15,18
83,Alternators for Chevrolet Malibu 2023,CHMA2303477,alternators,2023 Chevrolet Malibu,15,18
177,Oil Filters for Hyundai Sonata 2007,HYSO706833,oil filters,2007 Hyundai Sonata,15,18
121,Tires for Hyundai Sonata 2007,HYSO705667,tires,2007 Hyundai Sonata,15,18
287,Fuel Pumps for Hyundai Sonata 2007,HYSO710882,fuel pumps,2007 Hyundai Sonata,15,18
26,Brakes for Ford Focus 2010,FOFO1001396,brakes,2010 Ford Focus,15,18
253,Water Pumps for Ford Focus 2010,FOFO1009908,water pumps,2010 Ford Focus,15,18
230,Starters for Chevrolet Malibu 2023,CHMA2308238,starters,2023 Chevrolet Malibu,15,18
267,Water Pumps for Hyundai Sonata 2007,HYSO709637,water pumps,2007 Hyundai Sonata,15,18
61,Alternators for Ford Focus 2010,FOFO1003268,alternators,2010 Ford Focus,15,18
84,Alternators for Hyundai Sonata 2007,HYSO703411,alternators,2007 Hyundai Sonata,15,18
193,Air Filters for Ford Focus 2010,FOFO1007589,air filters,2010 Ford Focus,15,18
52,Batteries for Hyundai Sonata 2007,HYSO702964,batteries,2007 Hyundai Sonata,15,18
25,Brakes for Hyundai Sonata 2007,HYSO701639,brakes,2007 Hyundai Sonata,15,18
101,Spark Plugs for Chevrolet Malibu 2023,CHMA2304144,spark plugs,2023 Chevrolet Malibu,15,18
197,Air Filters for Chevrolet Malibu 2023,CHMA2307774,air filters,2023 Chevrolet Malibu,15,18
55,Batteries for Ford Focus 2010,FOFO1002160,batteries,2010 Ford Focus,15,18
30,Brakes for Chevrolet Malibu 2023,CHMA2301856,brakes,2023 Chevrolet Malibu,15,18
212,Starters for Ford Focus 2010,FOFO1008487,starters,2010 Ford Focus,15,18
96,Spark Plugs for Hyundai Sonata 2007,HYSO704988,spark plugs,2007 Hyundai Sonata,15,18
179,Oil Filters for Ford Focus 2010,FOFO1006379,oil filters,2010 Ford Focus,15,18
136,Tires for Chevrolet Malibu 2023,CHMA2305221,tires,2023 Chevrolet Malibu,15,18
240,Starters for Hyundai Sonata 2007,HYSO708308,starters,2007 Hyundai Sonata,15,18
216,Starters for Hyundai Santa Fe 2021,HYSA2108646,starters,2021 Hyundai Santa Fe,14,16
67,Alternators for Hyundai Sonata 2005,HYSO503287,alternators,2005 Hyundai Sonata,14,17
274,Fuel Pumps for Hyundai Santa Fe 2021,HYSA2110189,fuel pumps,2021 Hyundai Santa Fe,14,16
166,Oil Filters for Hyundai Santa Fe 2021,HYSA2106901,oil filters,2021 Hyundai Santa Fe,14,16
270,Water Pumps for Hyundai Santa Fe 2021,HYSA2109126,water pumps,2021 Hyundai Santa Fe,14,16
272,Fuel Pumps for Hyundai Sonata 2005,HYSO510693,fuel pumps,2005 Hyundai Sonata,14,17
228,Starters for Hyundai Sonata 2005,HYSO508133,starters,2005 Hyundai Sonata,14,17
73,Alternators for Hyundai Santa Fe 2021,HYSA2103322,alternators,2021 Hyundai Santa Fe,14,16
120,Spark Plugs for Hyundai Santa Fe 2021,HYSA2104382,spark plugs,2021 Hyundai Santa Fe,14,16
200,Air Filters for Hyundai Sonata 2005,HYSO507250,air filters,2005 Hyundai Sonata,14,17
249,Water Pumps for Hyundai Sonata 2005,HYSO509128,water pumps,2005 Hyundai Sonata,14,17
51,Batteries for Hyundai Santa Fe 2021,HYSA2102859,batteries,2021 Hyundai Santa Fe,14,16
108,Spark Plugs for Hyundai Sonata 2005,HYSO504532,spark plugs,2005 Hyundai Sonata,14,17
11,Brakes for Hyundai Santa Fe 2021,HYSA2101626,brakes,2021 Hyundai Santa Fe,14,16
181,Air Filters for Hyundai Santa Fe 2021,HYSA2107695,air filters,2021 Hyundai Santa Fe,14,16
4,Brakes for Hyundai Sonata 2005,HYSO501789,brakes,2005 Hyundai Sonata,14,17
45,Batteries for Hyundai Sonata 2005,HYSO502988,batteries,2005 Hyundai Sonata,14,17
130,Tires for Hyundai Santa Fe 2021,HYSA2105751,tires,2021 Hyundai Santa Fe,14,16
157,Oil Filters for Hyundai Sonata 2005,HYSO506238,oil filters,2005 Hyundai Sonata,14,17
122,Tires for Hyundai Sonata 2005,HYSO505980,tires,2005 Hyundai Sonata,14,17
135,Tires for BMW 5 Series 2011,BM5 1105291,tires,2011 BMW 5 Series,13,15
100,Spark Plugs for BMW 5 Series 2011,BM5 1104338,spark plugs,2011 BMW 5 Series,13,15
201,Air Filters for BMW 5 Series 2011,BM5 1107688,air filters,2011 BMW 5 Series,13,15
257,Water Pumps for BMW 5 Series 2011,BM5 1109402,water pumps,2011 BMW 5 Series,13,15
29,Brakes for BMW 5 Series 2011,BM5 1101654,brakes,2011 BMW 5 Series,13,15
215,Starters for BMW 5 Series 2011,BM5 1108234,starters,2011 BMW 5 Series,13,15
54,Batteries for BMW 5 Series 2011,BM5 1102885,batteries,2011 BMW 5 Series,13,15
282,Fuel Pumps for BMW 5 Series 2011,BM5 1110816,fuel pumps,2011 BMW 5 Series,13,15
175,Oil Filters for BMW 5 Series 2011,BM5 1106446,oil filters,2011 BMW 5 Series,13,15
88,Alternators for BMW 5 Series 2011,BM5 1103356,alternators,2011 BMW 5 Series,13,15
160,Oil Filters for Ford Explorer 2020,FOEX2006363,oil filters,2020 Ford Explorer,12,15
89,Alternators for Ford Explorer 2020,FOEX2003925,alternators,2020 Ford Explorer,12,15
97,Spark Plugs for Ford Explorer 2020,FOEX2004548,spark plugs,2020 Ford Explorer,12,15
131,Tires for Ford Explorer 2020,FOEX2005235,tires,2020 Ford Explorer,12,15
16,Brakes for Ford Explorer 2020,FOEX2001163,brakes,2020 Ford Explorer,12,15
186,Air Filters for Ford Explorer 2020,FOEX2007416,air filters,2020 Ford Explorer,12,15
222,Starters for Ford Explorer 2020,FOEX2008182,starters,2020 Ford Explorer,12,15
244,Water Pumps for Ford Explorer 2020,FOEX2009355,water pumps,2020 Ford Explorer,12,15
46,Batteries for Ford Explorer 2020,FOEX2002304,batteries,2020 Ford Explorer,12,15
281,Fuel Pumps for Ford Explorer 2020,FOEX2010834,fuel pumps,2020 Ford Explorer,12,15
132,Tires for Audi Q5 2020,AUQ52005312,tires,2020 Audi Q5,11,14
213,Starters for Audi Q5 2020,AUQ52008917,starters,2020 Audi Q5,11,14
117,Spark Plugs for Audi Q5 2020,AUQ52004189,spark plugs,2020 Audi Q5,11,14
70,Alternators for Audi Q5 2020,AUQ52003894,alternators,2020 Audi Q5,11,14
8,Brakes for Audi Q5 2020,AUQ52001984,brakes,2020 Audi Q5,11,14
296,Fuel Pumps for Audi Q5 2020,AUQ52010853,fuel pumps,2020 Audi Q5,11,14
199,Air Filters for Audi Q5 2020,AUQ52007486,air filters,2020 Audi Q5,11,14
248,Water Pumps for Audi Q5 2020,AUQ52009207,water pumps,2020 Audi Q5,11,14
48,Batteries for Audi Q5 2020,AUQ52002628,batteries,2020 Audi Q5,11,14
159,Oil Filters for Audi Q5 2020,AUQ52006256,oil filters,2020 Audi Q5,11,14
156,Oil Filters for Ford Explorer 2022,FOEX2206866,oil filters,2022 Ford Explorer,10,12
78,Alternators for Ford Explorer 2022,FOEX2203343,alternators,2022 Ford Explorer,10,12
284,Fuel Pumps for Ford Explorer 2022,FOEX2210477,fuel pumps,2022 Ford Explorer,10,12
128,Tires for Ford Explorer 2022,FOEX2205517,tires,2022 Ford Explorer,10,12
98,Spark Plugs for Ford Explorer 2022,FOEX2204308,spark plugs,2022 Ford Explorer,10,12
185,Air Filters for Ford Explorer 2022,FOEX2207411,air filters,2022 Ford Explorer,10,12
214,Starters for Ford Explorer 2022,FOEX2208676,starters,2022 Ford Explorer,10,12
265,Water Pumps for Ford Explorer 2022,FOEX2209416,water pumps,2022 Ford Explorer,10,12
34,Batteries for Ford Explorer 2022,FOEX2202295,batteries,2022 Ford Explorer,10,12
13,Brakes for Ford Explorer 2022,FOEX2201184,brakes,2022 Ford Explorer,10,12
68,Alternators for Chevrolet Suburban 2021,CHSU2103530,alternators,2021 Chevrolet Suburban,8,9
162,Oil Filters for Chevrolet Suburban 2021,CHSU2106394,oil filters,2021 Chevrolet Suburban,8,9
123,Tires for Chevrolet Suburban 2021,CHSU2105234,tires,2021 Chevrolet Suburban,8,9
47,Batteries for Chevrolet Suburban 2021,CHSU2102537,batteries,2021 Chevrolet Suburban,8,9
192,Air Filters for Chevrolet Suburban 2021,CHSU2107384,air filters,2021 Chevrolet Suburban,8,9
104,Spark Plugs for Chevrolet Suburban 2021,CHSU2104131,spark plugs,2021 Chevrolet Suburban,8,9
234,Starters for Chevrolet Suburban 2021,CHSU2108124,starters,2021 Chevrolet Suburban,8,9
245,Water Pumps for Chevrolet Suburban 2021,CHSU2109565,water pumps,2021 Chevrolet Suburban,8,9
291,Fuel Pumps for Chevrolet Suburban 2021,CHSU2110122,fuel pumps,2021 Chevrolet Suburban,8,9
18,Brakes for Chevrolet Suburban 2021,CHSU2101880,brakes,2021 Chevrolet Suburban,8,9
294,Fuel Pumps for Honda Odyssey 2015,HOOD1510251,fuel pumps,2015 Honda Odyssey,4,5
295,Fuel Pumps for Toyota RAV4 2020,TORA2010654,fuel pumps,2020 Toyota RAV4,4,4
206,Air Filters for Toyota RAV4 2020,TORA2007688,air filters,2020 Toyota RAV4,4,4
258,Water Pumps for Toyota RAV4 2020,TORA2009487,water pumps,2020 Toyota RAV4,4,4
111,Spark Plugs for Honda Odyssey 2015,HOOD1504801,spark plugs,2015 Honda Odyssey,4,5
205,Air Filters for Honda Odyssey 2015,HOOD1507903,air filters,2015 Honda Odyssey,4,5
137,Tires for Honda Odyssey 2015,HOOD1505702,tires,2015 Honda Odyssey,4,5
145,Tires for Toyota RAV4 2020,TORA2005934,tires,2020 Toyota RAV4,4,4
9,Brakes for Toyota RAV4 2020,TORA2001660,brakes,2020 Toyota RAV4,4,4
12,Brakes for Honda Odyssey 2015,HOOD1501637,brakes,2015 Honda Odyssey,4,5
103,Spark Plugs for Toyota RAV4 2020,TORA2004904,spark plugs,2020 Toyota RAV4,4,4
35,Batteries for Honda Odyssey 2015,HOOD1502566,batteries,2015 Honda Odyssey,4,5
225,Starters for Honda Odyssey 2015,HOOD1508312,starters,2015 Honda Odyssey,4,5
32,Batteries for Toyota RAV4 2020,TORA2002742,batteries,2020 Toyota RAV4,4,4
151,Oil Filters for Toyota RAV4 2020,TORA2006563,oil filters,2020 Toyota RAV4,4,4
168,Oil Filters for Honda Odyssey 2015,HOOD1506206,oil filters,2015 Honda Odyssey,4,5
74,Alternators for Honda Odyssey 2015,HOOD1503188,alternators,2015 Honda Odyssey,4,5
71,Alternators for Toyota RAV4 2020,TORA2003967,alternators,2020 Toyota RAV4,4,4
219,Starters for Toyota RAV4 2020,TORA2008532,starters,2020 Toyota RAV4,4,4
241,Water Pumps for Honda Odyssey 2015,HOOD1509948,water pumps,2015 Honda Odyssey,4,5
